hand_1;hand_2;flop;turn;p1_win;p2_win;draw
[('D', 14), ('C', 12)];[('D', 3), ('C', 13)];[('C', 3), ('H', 7), ('S', 5)];[('S', 13)];0.0;1.0;0.0
[('D', 5), ('D', 12)];[('S', 7), ('H', 4)];[('C', 13), ('D', 6), ('S', 11)];[('S', 14)];0.8636363636363636;0.13636363636363635;0.0
[('H', 4), ('S', 14)];[('D', 11), ('D', 10)];[('H', 2), ('D', 3), ('H', 10)];[('D', 12)];0.045454545454545456;0.9545454545454546;0.0
[('D', 6), ('D', 4)];[('H', 14), ('D', 11)];[('C', 6), ('S', 14), ('S', 8)];[('H', 6)];0.9545454545454546;0.045454545454545456;0.0
[('H', 13), ('C', 5)];[('D', 2), ('H', 5)];[('D', 7), ('S', 11), ('S', 14)];[('C', 6)];0.9318181818181818;0.06818181818181818;0.0
[('H', 8), ('H', 9)];[('D', 7), ('H', 6)];[('D', 14), ('H', 2), ('S', 9)];[('H', 7)];0.8863636363636364;0.11363636363636363;0.0
[('D', 10), ('C', 3)];[('C', 11), ('C', 2)];[('D', 12), ('C', 7), ('S', 12)];[('S', 5)];0.13636363636363635;0.8636363636363636;0.0
[('C', 4), ('H', 13)];[('D', 3), ('C', 5)];[('C', 13), ('H', 5), ('D', 4)];[('D', 2)];0.8636363636363636;0.13636363636363635;0.0
[('S', 11), ('S', 8)];[('D', 12), ('S', 3)];[('H', 8), ('S', 14), ('H', 5)];[('C', 5)];0.9318181818181818;0.06818181818181818;0.0
[('H', 5), ('D', 2)];[('C', 5), ('S', 5)];[('S', 2), ('S', 6), ('H', 8)];[('C', 13)];0.045454545454545456;0.9545454545454546;0.0
[('C', 5), ('C', 10)];[('H', 12), ('S', 2)];[('C', 9), ('C', 8), ('D', 9)];[('S', 6)];0.4090909090909091;0.5909090909090909;0.0
[('S', 6), ('D', 11)];[('H', 7), ('H', 4)];[('H', 5), ('H', 8), ('S', 8)];[('S', 11)];0.7727272727272727;0.22727272727272727;0.0
[('H', 2), ('C', 7)];[('D', 5), ('H', 12)];[('D', 12), ('C', 13), ('S', 6)];[('S', 5)];0.0;1.0;0.0
[('C', 14), ('C', 12)];[('C', 8), ('H', 5)];[('S', 9), ('H', 9), ('H', 4)];[('S', 10)];0.8636363636363636;0.13636363636363635;0.0
[('H', 12), ('C', 4)];[('C', 14), ('C', 3)];[('H', 5), ('S', 5), ('C', 13)];[('S', 6)];0.13636363636363635;0.8636363636363636;0.0
[('C', 12), ('D', 14)];[('H', 7), ('C', 5)];[('S', 6), ('H', 4), ('S', 2)];[('D', 2)];0.6818181818181818;0.3181818181818182;0.0
[('H', 12), ('C', 8)];[('D', 11), ('H', 9)];[('C', 10), ('D', 6), ('C', 4)];[('S', 2)];0.8636363636363636;0.13636363636363635;0.0
[('C', 2), ('S', 6)];[('D', 11), ('S', 13)];[('D', 13), ('C', 10), ('D', 14)];[('C', 11)];0.0;0.9090909090909091;0.09090909090909091
[('H', 8), ('D', 2)];[('H', 7), ('D', 8)];[('H', 11), ('D', 7), ('H', 2)];[('H', 3)];0.22727272727272727;0.7727272727272727;0.0
[('H', 7), ('S', 11)];[('D', 7), ('S', 14)];[('S', 5), ('H', 5), ('D', 13)];[('S', 2)];0.06818181818181818;0.9318181818181818;0.0
[('C', 2), ('S', 4)];[('S', 8), ('D', 8)];[('H', 4), ('S', 5), ('C', 5)];[('D', 14)];0.045454545454545456;0.9545454545454546;0.0
[('H', 3), ('S', 9)];[('C', 2), ('H', 6)];[('H', 7), ('S', 13), ('D', 4)];[('D', 11)];0.8636363636363636;0.13636363636363635;0.0
[('S', 8), ('S', 9)];[('H', 5), ('H', 10)];[('D', 10), ('D', 12), ('S', 3)];[('C', 11)];1.0;0.0;0.0
